Itn	UB	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	LB	Gap
32	7.14762e+09	-5.1054e+06	-7.91549e+06	-2.20144e+07	-1.27738e+07	-1.89515e+07	-9.74452e+06	-1.04091e+07	-5.54328e+06	-1.62849e+07	-3.03227e+06	-1.97902e+07	-6.62238e+06	-1.23033e+07	-9.57111e+06	-1.08066e+07	6.97675e+09	0.0244911
33	7.14438e+09	-6.41199e+06	-5.56121e+06	-7.15552e+06	-1.19574e+07	-8.24353e+06	-9.26775e+06	-2.07851e+07	-5.41506e+06	-7.85965e+06	-5.92535e+06	-1.45318e+07	-1.09041e+07	-1.61897e+07	-1.0377e+07	-1.04882e+07	6.9933e+09	0.0216026
34	7.14002e+09	-4.35513e+06	-1.20334e+07	-1.04667e+07	-1.35534e+07	-1.45708e+07	-7.52027e+06	-1.26976e+07	-5.63373e+06	-1.15558e+07	-2.81382e+06	-1.31141e+07	-4.05239e+06	-1.37236e+07	-1.33494e+07	-1.08028e+07	6.9933e+09	0.0209801
35	7.13826e+09	-5.00769e+06	-1.73527e+07	-1.08258e+07	-8.71455e+06	-1.02571e+07	-8.33359e+06	-1.52095e+07	-3.9795e+06	-9.78391e+06	-3.15296e+06	-1.45061e+07	-5.83563e+06	-1.26103e+07	-5.52362e+06	-7.62622e+06	6.99954e+09	0.0198183
36	7.13461e+09	-4.16425e+06	-1.14901e+07	-9.81866e+06	-2.0036e+07	-1.10065e+07	-5.97133e+06	-1.19079e+07	-4.46212e+06	-8.16528e+06	-3.44875e+06	-1.0969e+07	-4.0413e+06	-9.50433e+06	-1.37797e+07	-4.01979e+06	7.00182e+09	0.0189644
37	7.13202e+09	-1.25167e+07	-1.03455e+07	-8.56491e+06	-1.38204e+07	-1.09915e+07	-5.41599e+06	-4.80382e+06	-3.08424e+06	-7.45974e+06	-3.71202e+06	-1.35879e+07	-5.21739e+06	-1.04508e+07	-7.15298e+06	-5.24349e+06	7.00965e+09	0.017457
38	7.12637e+09	-5.1775e+06	-5.40877e+06	-9.68415e+06	-1.57598e+07	-1.04848e+07	-9.12058e+06	-1.13466e+07	-3.33978e+06	-9.55867e+06	-6.57495e+06	-1.04777e+07	-5.18056e+06	-1.38922e+07	-6.09395e+06	-8.96753e+06	7.00965e+09	0.0166514
39	7.12103e+09	-4.64897e+06	-5.20364e+06	-1.86468e+07	-1.13291e+07	-1.01824e+07	-6.89203e+06	-9.26532e+06	-2.2074e+06	-1.18153e+07	-1.33004e+07	-9.88505e+06	-5.91545e+06	-1.26256e+07	-6.09681e+06	-7.08976e+06	7.00965e+09	0.0158894
40	7.11903e+09	-4.54324e+06	-6.7492e+06	-1.11384e+07	-1.30175e+07	-6.54374e+06	-7.11367e+06	-1.00144e+07	-3.51875e+06	-1.13033e+07	-5.98515e+06	-1.08905e+07	-4.98032e+06	-1.17264e+07	-4.19265e+06	-5.17787e+06	7.00965e+09	0.0156041
41	7.11493e+09	-8.24683e+06	-9.43325e+06	-1.12923e+07	-1.02237e+07	-8.65672e+06	-7.06977e+06	-8.25809e+06	-5.67912e+06	-6.7438e+06	-3.17199e+06	-8.94277e+06	-3.73761e+06	-7.74272e+06	-3.78037e+06	-3.65365e+06	7.00965e+09	0.0150195
42	7.11033e+09	-6.23382e+06	-3.54194e+06	-1.16381e+07	-7.08377e+06	-3.32058e+06	-7.13313e+06	-4.15403e+06	-5.56645e+06	-7.1277e+06	-2.9971e+06	-1.08063e+07	-2.96981e+06	-9.63556e+06	-9.64533e+06	-7.33882e+06	7.01114e+09	0.0141478
43	7.10759e+09	-8.4054e+06	-5.73237e+06	-8.73892e+06	-8.61897e+06	-4.72841e+06	-1.16304e+07	-5.86071e+06	-3.71522e+06	-5.42334e+06	-3.05561e+06	-6.56938e+06	-3.24029e+06	-7.81163e+06	-6.87715e+06	-3.54656e+06	7.01363e+09	0.013396
44	7.10423e+09	-7.90783e+06	-6.51298e+06	-3.60688e+06	-6.27898e+06	-4.13044e+06	-1.10915e+07	-3.34926e+06	-5.07902e+06	-4.39935e+06	-3.08617e+06	-6.78235e+06	-5.87663e+06	-7.50184e+06	-5.8898e+06	-5.34939e+06	7.01739e+09	0.0123753
45	7.09536e+09	-9.62667e+06	-7.60368e+06	-3.79407e+06	-5.60274e+06	-2.22994e+06	-6.35213e+06	-2.48187e+06	-1.87023e+06	-4.38012e+06	-3.48812e+06	-6.47177e+06	-2.724e+06	-6.14346e+06	-4.36763e+06	-3.56863e+06	7.02466e+09	0.0100653
46	7.09161e+09	-5.03164e+06	-7.58363e+06	-2.96725e+06	-4.62482e+06	-2.0852e+06	-4.16752e+06	-1.7772e+06	-2.23694e+06	-4.42599e+06	-1.82127e+06	-6.87787e+06	-1.48642e+06	-3.66358e+06	-2.80013e+06	-3.42964e+06	7.03663e+09	0.00781327
